ID X Y Elevation Lon Lat
366 -2258959 2116688 1164.04 -122.749827235416 39.1939459254295
367 -2256288 2121404 1022.5 -122.735141489157 39.2409869891159
368 -2253399 2117574 1042.06 -122.690269050699 39.2153058233347
369 -2256866 2115988 731.48 -122.724059216278 39.1931307382438
370 -2256365 2115280 755.54 -122.716139092572 39.1883021198224
371 -2256141 2115970 711.51 -122.715861246702 39.1947713418952
372 -2245541 2112180 923.26 -122.58457564655 39.188452608083
373 -2244546 2112671 1078.2 -122.574984237424 39.1951140009776
374 -2246666 2112165 805.06 -122.597161395138 39.1855518956697
375 -2245158 2112657 921.5 -122.581813005576 39.1934866150171
376 -2246101 2111997 924.96 -122.5902742479 39.1855035991817
377 -2246245 2112544 750.5 -122.593656674645 39.1898394494354
378 -2246653 2111176 845.27 -122.593823639313 39.177103060799
379 -2246433 2113476 620.61 -122.598776548599 39.197368202939
380 -2246939 2112890 541.79 -122.602567629715 39.1910959294018
381 -2244870 2113406 853.93 -122.58099462716 39.2006191444887
382 -2264074 2123234 900.12 -122.828544204782 39.237351299301
383 -2261973 2122988 720.45 -122.804147533948 39.2404629988329
384 -2262170 2123744 747.98 -122.808820956266 39.246452528477
385 -2262328 2122574 815.45 -122.806787112719 39.2360334550597
386 -2263330 2122098 1099.5 -122.816490049935 39.2294653098462
387 -2262980 2121658 1092.56 -122.811127594574 39.2265641556032
388 -2263469 2123820 984.13 -122.823658376152 39.2438765344994
389 -2263600 2124447 1081.64 -122.827172070645 39.2489239405299
390 -2262624 2125061 912.55 -122.818209014044 39.2566109476386
391 -2263076 2124357 997.62 -122.820993327392 39.2494549124321
392 -2253913 2110832 805.73 -122.674211039163 39.1562361839564
393 -2253539 2111245 603.89 -122.671349792214 39.1607012173779
394 -2253736 2111734 687.41 -122.675143096187 39.164406602106
395 -2254396 2111797 690.88 -122.682754683703 39.1633151759398
396 -2255321 2112526 651.38 -122.695496794347 39.1672772452696
397 -2255019 2113020 620.97 -122.693706900117 39.1722590855589
398 -2254335 2113087 758.5 -122.686246032603 39.174524995823
399 -2254760 2113895 746.86 -122.693633390087 39.1804007417612
400 -2254236 2112601 740.34 -122.683561365494 39.1706033674089
401 -2254712 2113405 701.43 -122.691507643511 39.1763188477527
402 -2254133 2113709 833.79 -122.685992370283 39.1803567794535
403 -2255118 2113612 648.87 -122.696735511315 39.177089188414
404 -2255392 2114328 665.81 -122.702130785834 39.1825492574906
405 -2255563 2113852 621.28 -122.702508182939 39.1780457089253
406 -2255871 2114231 706.53 -122.707193570512 39.1805325308663
407 -2255920 2113547 747.33 -122.705527294436 39.1745478192479
408 -2255762 2114923 669.69 -122.708212470599 39.1867342874191
409 -2256253 2113933 840.21 -122.710515862962 39.1770326598824
410 -2255867 2113099 738.07 -122.703480991565 39.1708385444479
411 -2256708 2114110 771.15 -122.716196751322 39.1774237478296
412 -2255477 2112924 683.52 -122.698536733877 39.170303228168
413 -2256906 2114755 681.47 -122.720510201279 39.1824625277203
414 -2254148 2114807 553.52 -122.68971648286 39.1897326303629
415 -2254944 2115018 744.01 -122.699336869628 39.1895726102663
416 -2254312 2114255 775.18 -122.689769968088 39.1845948942517
417 -2253474 2114227 529.45 -122.680271139706 39.1864268647601
418 -2254841 2114454 822.98 -122.69635336022 39.1849924844848
419 -2258227 2111801 1053.23 -122.725759531555 39.1538704670793
420 -2258767 2112084 995 -122.732736110655 39.1549589192389
421 -2258699 2112745 985.62 -122.734116389583 39.1607931585913
422 -2259249 2112576 961.01 -122.739739935556 39.157982098439
423 -2259760 2112886 879.61 -122.746479308988 39.1593730558121
424 -2258125 2112896 783.74 -122.728164719671 39.1635091104133
425 -2259932 2112318 1029.44 -122.746566612139 39.1540783650951
